Period,Value
2017-04-01,29.365000000000002
2017-05-01,29.569090909090907
2017-06-01,30.645909090909093
2017-07-01,31.416666666666668
2017-08-01,32.43391304347826
2017-09-01,35.228095238095236
2017-10-01,35.926818181818184
2017-11-01,36.605909090909094
2017-12-01,37.462105263157895
2018-01-01,35.550000000000004
2018-02-01,33.862
2018-03-01,34.710476190476186
2018-04-01,37.641000000000005
2018-05-01,40.957727272727276
2018-06-01,41.565714285714286
2018-07-01,44.39681818181818
2018-08-01,47.05782608695652
2018-09-01,53.5755
2018-10-01,52.83608695652174
2018-11-01,51.24318181818182
2018-12-01,53.53823529411765
2019-01-01,47.8695652
2019-02-01,43.00214285714286
2019-03-01,32.481904761904765
2019-04-01,37.5135
2019-05-01,38.40772727272727
2019-06-01,33.207
2019-07-01,39.060434782608695
2019-08-01,36.946363636363635
2019-09-01,36.42952380952381
2019-10-01,38.37
2019-11-01,41.53190476190476
2019-12-01,32.166666666666664
2020-01-01,34.871818181818185
2020-02-01,23.9015
2020-03-01,32.68909090909091
2020-04-01,37.4825
2020-05-01,36.5805
2020-06-01,39.015
2020-07-01,41.082173913043476
2020-08-01,40.22857142857143
2020-09-01,41.57727272727273
2020-10-01,39.710454545454546
2020-11-01,39.45428571428571
2020-12-01,45.239
2021-01-01,49.986000000000004
2021-02-01,52.3045
2021-03-01,54.98869565217392
2021-04-01,58.00599999999999
2021-05-01,64.30809523809523
2021-06-01,66.65636363636364
2021-07-01,72.16545454545454
2021-08-01,81.46409090909091
2021-09-01,101.84454545454545
2021-10-01,126.58476190476192
2021-11-01,123.83681818181817
2021-12-01,204.44454545454545
2022-01-01,126.69857142857143
2022-02-01,143.33599999999998
2022-03-01,168.01347826086956
2022-04-01,196.51105263157896
2022-05-01,224.36136363636362
2022-06-01,245.64363636363635
2022-07-01,344.5895238095238
2022-08-01,535.9352173913044
2022-09-01,504.7959090909091
2022-10-01,406.5166666666667
2022-11-01,339.37045454545455
2022-12-01,310.27285714285716
2023-01-01,181.49772727272727
2023-02-01,162.1045
2023-03-01,139.87391304347827
2023-04-01,148.50470588235294
2023-05-01,137.63333333333335
2023-06-01,137.32409090909093
2023-07-01,139.2347619047619
2023-08-01,137.48782608695655
2023-09-01,127.54666666666667
2023-10-01,125.8409090909091
2023-11-01,112.70681818181819
2023-12-01,94.06894736842105
2024-01-01,85.00545454545454
2024-02-01,73.95952380952382
2024-03-01,78.787
2024-04-01,87.42428571428572
2024-05-01,95.96363636363635
2024-06-01,92.533
2024-07-01,90.38956521739131
2024-08-01,97.17318181818182
2024-09-01,87.52714285714285
2024-10-01,87.80565217391305
2024-11-01,94.41000000000001
2024-12-01,92.784
2025-01-01,93.3840909090909
2025-02-01,92.60900000000001
2025-03-01,84.06761904761905
2025-04-01,81.98571428571428
2025-05-01,88.087142857
2025-06-01,89.4944444444445
2025-07-01,86.667
2025-08-01,85.4733
2025-09-01,86.671
2025-10-01,87.207
