Period,Value
2014-01-01,193.00
2014-02-01,195.07
2014-03-01,198.24
2014-04-01,197.36
2014-05-01,200.13
2014-06-01,201.24
2014-07-01,196.45
2014-08-01,194.95
2014-09-01,196.76
2014-10-01,195.83
2014-11-01,190.58
2014-12-01,186.21
2015-01-01,183.45
2015-02-01,177.82
2015-03-01,170.89
2015-04-01,164.80
2015-05-01,162.72
2015-06-01,162.35
2015-07-01,160.87
2015-08-01,160.35
2015-09-01,160.35
2015-10-01,159.52
2015-11-01,156.89
2015-12-01,152.63
2016-01-01,149.81
2016-02-01,144.89
2016-03-01,140.52
2016-04-01,140.52
2016-05-01,140.50
2016-06-01,140.50
2016-07-01,142.60
2016-08-01,146.67
2016-09-01,151.69
2016-10-01,163.87
2016-11-01,168.38
2016-12-01,166.42
2017-01-01,165.25
2017-02-01,166.55
2017-03-01,166.64
2017-04-01,168.04
2017-05-01,168.80
2017-06-01,168.80
2017-07-01,168.80
2017-08-01,168.80
2017-09-01,156.80
2017-10-01,155.66
2017-11-01,160.31
2017-12-01,163.00
2018-01-01,167.82
2018-02-01,166.95
2018-03-01,166.95
2018-04-01,162.95
2018-05-01,160.86
2018-06-01,159.13
2018-07-01,160.44
2018-08-01,157.42
2018-09-01,156.45
2018-10-01,155.46
2018-11-01,152.96
2018-12-01,149.12
2019-01-01,147.34
2019-02-01,143.89
2019-03-01,141.42
2019-04-01,141.00
2019-05-01,137.84
2019-06-01,136.15
2019-07-01,133.37
2019-08-01,132.31
2019-09-01,130.71
2019-10-01,128.33
2019-11-01,127.60
2019-12-01,127.51
2020-01-01,127.66
2020-02-01,125.90
2020-03-01,120.35
2020-04-01,118.92
2020-05-01,118.60
2020-06-01,118.35
2020-07-01,115.85
2020-08-01,112.99
2020-09-01,112.85
2020-10-01,112.85
2020-11-01,127.55
2020-12-01,134.96
2021-01-01,139.21
2021-02-01,160.50
2021-03-01,170.60
2021-04-01,180.65
2021-05-01,191.71
2021-06-01,192.68
2021-07-01,198.10
2021-08-01,210.55
2021-09-01,225.05
2021-10-01,270.57
2021-11-01,313.82
2021-12-01,340.26
2022-01-01,342.24
2022-02-01,350.00
2022-03-01,350.35
2022-04-01,352.00
2022-05-01,350.36
2022-06-01,345.09
2022-07-01,340.00
2022-08-01,340.00
2022-09-01,325.00
2022-10-01,322.62
2022-11-01,307.50
2022-12-01,292.05
2023-01-01,277.95
2023-02-01,253.00
2023-03-01,206.74
2023-04-01,180.00
2023-05-01,194.13
2023-06-01,215.00
2023-07-01,230.00
2023-08-01,230.00
2023-09-01,230.71
2023-10-01,235.00
2023-11-01,235.00
2023-12-01,231.43
2024-01-01,220.22
2024-02-01,212.38
2024-03-01,205.00
2024-04-01,202.18
2024-05-01,189.57
2024-06-01,178.25
2024-07-01,172.17
2024-08-01,160.00
2024-09-01,166.48
2024-10-01,174.96
2024-11-01,187.19
2024-12-01,195.00
2025-01-01,184.91
2025-02-01,177.05
2025-03-01,172.14
2025-04-01,165.14
2025-05-01,167.10
2025-06-01,170.29
2025-07-01,169.00
2025-08-01,171.00
